year,tax_unit_id,household_weight,broad_income,taxable_income,mtr,mtr_prime
2023,7389001,14127.240234375,111800.0,74334.0,0.3215,0.29443382490654635
2023,6207301,9418.16015625,70040.0,56177.203,0.29650003,0.34109839729138314
2023,6325901,9418.16015625,68427.0,38322.203,0.1965,0.17981924931461257
2023,6868401,4709.080078125,71100.0,42300.0,0.25449997,0.2528758655408646
2023,827801,9418.16015625,140202.0,90517.36,0.0,0.007447314062456245
2023,2596201,4709.080078125,60740.0,39153.2,0.24510938,0.24337565771748348
2023,1069701,4709.080078125,207125.0,161669.8,0.36021876,0.3912321007079228
2023,7824602,4709.080078125,75471.0,60950.6,0.30229688,0.30611801889018597
2023,5113203,9418.16015625,50006.0,36154.08,0.1965,0.18929438724703374
2023,768401,4709.080078125,28246.0,18011.328,0.35746485,0.3657363193416069
2023,2274902,4709.080078125,123001.0,95350.68,0.37537497,0.387873369858017
2023,2364901,4709.080078125,394126.0,338815.44,0.43384373,0.44090119755790946
2023,6331501,4709.080078125,68000.0,54150.0,0.29650003,0.2802147591914349
2023,5297701,4709.080078125,276901.0,190072.69,0.3316719,0.3261564192495404
2023,8012801,4709.080078125,139500.0,125490.0,0.4225,0.4300980021037345
2023,4024801,18836.3203125,40006.0,26154.078,0.245,0.23524965912781337
2023,6240901,4709.080078125,128600.0,100900.0,0.29650003,0.27925603541683974
2023,6564001,4709.080078125,70810.0,83538.41,0.1965,0.21047945695790582
2023,4656701,9418.16015625,171300.0,180514.8,0.31654686,0.3221225325531629
2023,6857801,4709.080078125,45035.0,17323.8,0.23449999,0.24196730109827624
2023,4223901,9418.16015625,62000.0,34300.0,0.254,0.28080127120157283
2023,4398501,14127.240234375,63413.0,11213.801,0.134,0.1275652103435151
2023,3590401,9418.16015625,37254.0,5700.7188,0.0765,0.07045317448537569
2023,421902,4709.080078125,90075.0,69201.0,0.34649998,0.3464164330554599
2023,1015701,14127.240234375,57000.0,36508.2,0.25803125,0.2623699222080672
2023,462201,4709.080078125,174250.0,137442.53,0.34649998,0.36921927644894914
2023,5285202,14127.240234375,24000.0,10150.0,0.22435158,0.2324656676948812
2023,2296401,4709.080078125,167012.0,129988.16,0.3495,0.3550495872994498
2023,4309601,9418.16015625,168460.0,189442.95,0.35399997,0.366827678557053
2023,8132701,9418.16015625,15010.0,79.66211,0.29523438,0.29807037634924527
2023,1873202,18836.3203125,72001.0,53410.68,0.34600002,0.33936030608818823
2023,3299001,14127.240234375,156406.0,120437.69,0.34399998,0.3123256041277632
2023,6524901,14127.240234375,21000.0,200.0,0.31916404,0.31618607251860387
2023,1753001,14127.240234375,42540.0,26517.2,0.22799999,0.22301322553637248
2023,848901,9418.16015625,165060.0,124500.8,0.0,0.0018594170323753545
2023,2132301,18836.3203125,131000.0,103300.0,0.337,0.36805289810925823
2023,1325301,4709.080078125,161491.0,125813.89,0.32720315,0.32764896808859045
2023,8285303,4709.080078125,113201.0,92126.68,0.40249997,0.4015996072778003
2023,7340901,14127.240234375,74311.0,45871.477,0.22149998,0.17205223187239982
2023,5239401,4709.080078125,166461.0,152334.8,0.29177344,0.2951711407060619
2023,7884701,9418.16015625,72006.0,44303.4,0.2805,0.2750554151992254
2023,7313601,4709.080078125,45637.0,43248.96,0.0,0.0008674178181015124
2023,1484601,4709.080078125,248010.0,212006.8,0.352125,0.37078007209410146
2023,8046101,9418.16015625,31410.0,15188.801,0.231,0.20871236856138398
2023,4519001,14127.240234375,102001.0,74301.0,0.1965,0.1812526855847375
2023,7337005,9418.16015625,25350.0,10888.0,0.21925783,0.20366435307809594
2023,8067401,18836.3203125,320565.0,271244.2,0.4605,0.47262699118049434
2023,2312501,4709.080078125,110505.0,78643.4,0.25998437,0.23357169383782683
2023,1035401,9418.16015625,56000.0,42150.0,0.25175,0.27751917462625664
2023,1749301,14127.240234375,15100.0,1250.0,0.208,0.19629457619444202
2023,3587501,4709.080078125,163390.0,127111.25,0.36790627,0.3323266366396861
2023,7398202,14127.240234375,70000.0,56150.0,0.3215,0.33809564527785596
2023,7808901,4709.080078125,106110.0,76854.8,0.20230466,0.2135184213686223
2023,145501,4709.080078125,47051.0,25698.762,0.1965,0.19449576101804855
2023,4320302,14127.240234375,53000.0,25300.0,0.254,0.2633309817857803
2023,3530201,14127.240234375,181393.0,141818.44,0.35399997,0.3785639802141012
2023,1715801,4709.080078125,21601.0,5879.5312,0.29299998,0.29178709303003936
2023,1090601,4709.080078125,29689.0,15368.02,0.17650002,0.1980823437744592
2023,2429901,4709.080078125,185010.0,144206.8,0.375,0.36755613827141076
2023,8387001,4709.080078125,173700.0,124304.0,0.40249997,0.4160772353077796
2023,2356801,9418.16015625,38401.0,28432.879,0.352,0.3263982510000206
2023,4374301,9418.16015625,27000.0,13150.0,0.49159378,0.5014522136618838
2023,6189301,14127.240234375,100000.0,72300.0,0.1965,0.20294343942366866
2023,2619801,4709.080078125,91132.0,59489.758,0.24510938,0.22959927931327473
2023,8548101,14127.240234375,19775.0,5214.5,0.17447656,0.1994923849990996
2023,8496301,4709.080078125,457242.0,444273.7,0.44575,0.4425892781657499
2023,1902605,4709.080078125,15000.0,90.28418,0.2802344,0.2563249510740533
2023,4250201,4709.080078125,159020.0,126673.59,0.35399997,0.3794461003553339
2023,2199101,9418.16015625,63111.0,61622.586,0.23699999,0.23346995687704064
2023,2093701,4709.080078125,342645.0,299958.6,0.39499998,0.3910564567354765
2023,534601,4709.080078125,95881.0,39155.863,0.2653672,0.2508671475833719
2023,5005102,9418.16015625,30000.0,16150.0,0.1965,0.22096699511126172
2023,4273001,14127.240234375,101505.0,77223.4,0.35399997,0.3749771986271522
2023,689202,4709.080078125,65903.0,44264.04,0.30540627,0.2962834486493714
2023,2058702,9418.16015625,119253.0,99457.4,0.357,0.3522081980428067
2023,8136201,4709.080078125,153006.0,120694.08,0.4225,0.41887217638051877
2023,1819901,9418.16015625,51086.0,62600.484,0.34600002,0.340310986285004
2023,1248301,9418.16015625,25000.0,11150.0,0.2271992,0.2402262404386748
2023,4177601,4709.080078125,45011.0,24237.48,0.6199961,0.6177832198564543
2023,8637401,14127.240234375,66901.0,50266.68,0.38950002,0.3850105768955604
2023,1835601,9418.16015625,136354.0,93340.72,0.34649998,0.3580671013508999
2023,5948801,9418.16015625,53000.0,34710.0,0.24400002,0.20790152942429407
2023,6568902,4709.080078125,37002.0,23151.36,0.1965,0.18692528633996564
2023,1809301,9418.16015625,287053.0,246024.34,0.3135,0.33364427036076216
2023,2687401,4709.080078125,114100.0,81240.23,0.24500781,0.2631824092905044
2023,5215501,4709.080078125,98150.0,67402.0,0.23667186,0.22150301928913874
2023,5241101,4709.080078125,140601.0,109708.69,0.33367187,0.3140895158713387
2023,4496401,14127.240234375,53040.0,37340.0,0.1965,0.21281749349413925
2023,920401,14127.240234375,150021.0,126199.28,0.39465624,0.3798999123571226
2023,7592201,4709.080078125,156391.0,117261.875,0.29650003,0.2892026549664122
2023,2332101,18836.3203125,87006.0,73154.08,0.3645,0.35130437470774223
2023,1483401,4709.080078125,165002.0,135801.38,0.272,0.2366467857132477
2023,610001,9418.16015625,64405.0,49725.4,0.35650003,0.36043562649690475
2023,4835701,4709.080078125,55000.0,24300.0,0.1965,0.21149891935103138
2023,6015701,4709.080078125,303254.0,254012.72,0.3255,0.34033389998283936
2023,361901,9418.16015625,467300.0,422264.0,0.4235,0.4351387757932953
2023,4326001,14127.240234375,50000.0,22300.0,0.254,0.25543657000916364
2023,1736001,9418.16015625,98015.0,70310.84,0.22799999,0.22138759418205456
2023,5457801,9418.16015625,95000.0,81150.0,0.34649998,0.3419638727698586
2023,1412701,9418.16015625,111372.0,67272.96,0.22720313,0.211055628749249
2023,6110401,9418.16015625,94494.0,65435.92,0.1965,0.1962387853840526
2023,3073402,4709.080078125,53550.0,23914.0,0.43596095,0.41508774686747485
2023,8329701,4709.080078125,89409.0,50456.117,0.24949998,0.25444920946439353
2023,1207801,9418.16015625,429025.0,398805.0,0.5191875,0.4853528143121093
2023,2466101,4709.080078125,46150.0,33890.0,0.1965,0.1838331029757444
2023,1053403,4709.080078125,75000.0,61150.0,0.35284376,0.36656410175144605
2023,8255104,4709.080078125,87800.0,68054.0,0.0,0.026417111008576022
2023,7933301,4709.080078125,60156.0,39756.4,0.2805,0.27176897200605543
2023,1933201,14127.240234375,304860.0,257370.4,0.37550002,0.3789791088452954
2023,5743601,4709.080078125,64168.0,40299.52,0.23900002,0.22529420280039036
2023,7396101,4709.080078125,215501.0,167050.69,0.34149998,0.3336630418957274
2023,4622201,9418.16015625,44724.0,30697.398,0.2985,0.2997760764416636
2023,4450501,9418.16015625,61008.0,27985.438,0.1965,0.21333118673721174
2023,1834801,9418.16015625,72000.0,47608.742,0.4109375,0.43282883884663315
2023,934001,18836.3203125,35360.0,21510.0,0.2515,0.25980895925944414
2023,8076801,9418.16015625,19012.0,5158.16,0.19862503,0.18128262644764392
2023,8095701,9418.16015625,22000.0,8150.0,0.21864063,0.2144473096037618
2023,5232701,9418.16015625,60000.0,32300.0,0.2366758,0.26008199594663495
2023,2444901,9418.16015625,90150.0,55831.64,0.25257033,0.2493273017253711
2023,2532202,9418.16015625,69840.0,42140.0,0.24510938,0.2378024302147852
2023,6312402,4709.080078125,72501.0,49450.68,0.29650003,0.3118743844461236
2023,8074901,4709.080078125,27526.0,20554.52,0.3315,0.3289259198649983
2023,8012201,4709.080078125,72002.0,52041.36,0.24949998,0.24840704048384843
2023,7051001,4709.080078125,41903.0,9702.16,0.22500002,0.24683167564129882
2023,5387802,4709.080078125,50001.0,36149.68,0.24650002,0.2397299631440486
2023,885701,4709.080078125,31203.0,17352.04,0.28683984,0.27677119894090696
2023,1327401,9418.16015625,51000.0,28880.0,0.44379687,0.4285312250266168
2023,8084001,4709.080078125,134064.0,97757.5,0.38950002,0.3732026335316466
2023,4981201,4709.080078125,226891.0,219806.19,0.31675,0.3398816710324586
2023,225202,4709.080078125,76074.0,62216.32,0.3625,0.3772727435400409
2023,979801,9418.16015625,214091.0,205261.88,0.3815,0.37348478217707615
2023,5821903,4709.080078125,93010.0,62996.797,0.339,0.3304549118799459
2023,107403,4709.080078125,150001.0,136150.69,0.3165,0.30764222600058444
2023,1322001,4709.080078125,103007.0,55964.758,0.22720313,0.14906604317126193
2023,4574401,9418.16015625,41800.0,36496.0,0.1965,0.18495001406902867
2023,6120501,9418.16015625,15000.0,72.22754,0.28673923,0.26620020638918174
2023,5592801,4709.080078125,51013.0,27228.84,0.24702346,0.22884907111947939
2023,1726901,4709.080078125,58785.0,31073.602,0.45965624,0.45078482008171095
2023,6232201,9418.16015625,36201.0,6900.6797,0.27749997,0.28317214209551067
2023,1807301,9418.16015625,50010.0,36156.8,0.24599999,0.2315568313226617
2023,2366301,9418.16015625,92159.0,55518.117,0.3645,0.37666039537492735
2023,6451201,4709.080078125,35003.0,7303.0,0.17650002,0.1813611211627777
2023,5553402,4709.080078125,25083.0,11232.039,0.23304689,0.24229693245896533
2023,7742403,9418.16015625,35000.0,21150.0,0.20229685,0.2006623994265454
2023,5710003,9418.16015625,85005.0,71153.4,0.339,0.29962190550394097
2023,4700302,9418.16015625,70000.0,49200.0,0.1965,0.23314667484543095
2023,938001,4709.080078125,210900.0,181412.0,0.37164062,0.360767163401399
2023,2683601,4709.080078125,81340.0,56941.438,0.1965,0.2282510643494755
2023,1969401,4709.080078125,120018.0,99216.4,0.36650002,0.37393032207029975
2023,1843301,4709.080078125,233701.0,191495.36,0.46690625,0.45219407886875573
2023,8562701,4709.080078125,44490.0,17280.645,0.4492969,0.44841120006852286
2023,3205501,4709.080078125,106001.0,73100.68,0.24400002,0.26409742915720746
2023,8043101,9418.16015625,30000.0,2451.75,0.23949999,0.2529788207421908
2023,5199901,4709.080078125,95000.0,67300.0,0.23667186,0.22359216588290554
2023,7124201,4709.080078125,49900.0,23762.0,0.24550003,0.2591515561739669
2023,4272901,9418.16015625,726025.0,669197.0,0.49299997,0.490248921241896
2023,4751301,4709.080078125,97231.0,69521.2,0.1965,0.19558405733986473
2023,4207502,4709.080078125,45011.0,29157.48,0.2605,0.2724488871714633
2023,1535301,9418.16015625,104351.0,73488.68,0.22262502,0.1798219592347381
2023,6293101,4709.080078125,55012.0,25541.965,0.2528203,0.24088469971555837
2023,2073701,14127.240234375,199004.0,158302.03,0.337,0.3697311925855049
2023,414101,4709.080078125,67000.0,62020.0,0.34267187,0.3396006771330733
2023,5469101,4709.080078125,62001.0,26928.293,0.29928517,0.3107828879481118
2023,1427402,9418.16015625,50001.0,35150.68,0.23319924,0.21668271011098494
2023,8364501,4709.080078125,46000.0,18300.0,0.18949997,0.2054003884767086
2023,8449401,9418.16015625,113171.0,75946.28,0.40249997,0.40421139374220016
2023,8194702,4709.080078125,96650.0,82784.0,0.40249997,0.39490890939966394
2023,2803201,14127.240234375,320949.0,260046.94,0.3345,0.3199390030953334
2023,352802,9418.16015625,100000.0,86150.0,0.34649998,0.36581852334205667
2023,8276301,9418.16015625,95003.0,78652.04,0.40249997,0.4074757521563074
2023,3592605,14127.240234375,80000.0,66150.0,0.35399997,0.361624981584302
2023,8522102,4709.080078125,31200.0,9200.0,0.37789065,0.3879691706333116
2023,8504801,4709.080078125,43000.0,29150.0,0.24949998,0.21563377248487126
2023,2158501,4709.080078125,103253.0,72096.04,0.23699999,0.26067622752844644
2023,3056801,4709.080078125,227600.0,196708.0,0.3735,0.3589577677107533
2023,7754301,4709.080078125,269155.0,209271.81,0.36029685,0.32544166871500957
2023,2307101,9418.16015625,65204.0,51352.72,0.3558594,0.3390166446186389
2023,1383401,9418.16015625,82500.0,66399.28,0.26121092,0.2887469878279829
2023,4631402,4709.080078125,60002.0,46151.36,0.29650003,0.3049651514559094
2023,8325701,4709.080078125,101259.0,72189.234,0.26950002,0.2459927476814927
2023,6144401,14127.240234375,120601.0,91224.68,0.29650003,0.30883671294991555
2023,4708303,14127.240234375,91893.0,68486.6,0.29650003,0.28865088881282497
2023,954701,14127.240234375,80110.0,19374.8,0.6392422,0.6321877023450877
2023,5041401,4709.080078125,87378.0,58557.04,0.1965,0.21490563618930858
2023,8663104,4709.080078125,40001.0,26150.68,0.0,0.0014870271793422374
2023,1223201,4709.080078125,243518.0,212230.95,0.34750003,0.3982877051724334
2023,4368801,14127.240234375,80002.0,52301.36,0.254,0.27286227805647134
2023,7934601,4709.080078125,30157.0,16086.76,0.2805,0.2850287516177614
2023,6415501,9418.16015625,150038.0,122325.84,0.29650003,0.3181066560999811
2023,6150901,4709.080078125,90000.0,62300.0,0.1965,0.16303063938751228
2023,6187802,4709.080078125,25010.0,11156.801,0.1965,0.22472047125527306
2023,2600701,14127.240234375,70125.0,42425.0,0.24510938,0.25336850261686517
2023,2153801,9418.16015625,34100.0,20218.0,0.26645315,0.26405161587714465
2023,7346501,9418.16015625,50002.0,22301.36,0.45910156,0.4392566180383255
2023,7349801,4709.080078125,32020.0,25443.5,0.32349998,0.3473533094982211
2023,7844301,4709.080078125,87180.0,55024.64,0.20229685,0.1787598090135094
2023,8181701,14127.240234375,159595.0,145554.6,0.4225,0.4223522555908107
2023,4323201,4709.080078125,27300.0,13450.0,0.254,0.2720823868364026
2023,4267301,14127.240234375,40025.0,12317.0,0.23400003,0.22509943250595588
2023,7212001,4709.080078125,35013.0,32115.89,0.34750003,0.3442447719165245
2023,5556601,4709.080078125,16500.0,2650.0,0.71057034,0.7148809276151389
2023,6185501,4709.080078125,181105.0,153051.4,0.29650003,0.29527131128255035
2023,7144701,9418.16015625,689003.0,654018.5,0.43550003,0.44091165710151603
2023,8031501,9418.16015625,194302.0,159505.36,0.40249997,0.4008018999841513
2023,2433601,4709.080078125,47672.0,19972.0,0.2246992,0.21175862927774736
2023,2924001,4709.080078125,55000.0,38371.8,0.24659765,0.216124789072357
2023,940501,14127.240234375,23000.0,18400.0,0.0,0.03047147996503541
2023,4764001,9418.16015625,110718.0,75188.24,0.1965,0.15248968066257806
2023,512001,4709.080078125,147873.0,116880.64,0.38989842,0.4189578660547596
2023,3981202,23545.400390625,41000.0,23830.0,0.245,0.2478595195912341
2023,4533602,9418.16015625,27832.0,7632.451,0.2946406,0.2841895556765297
2023,2103901,4709.080078125,113000.0,85300.0,0.23699999,0.23162119826359684
2023,4835601,9418.16015625,47000.0,33150.0,0.1965,0.20891162038211808
2023,452801,9418.16015625,36000.0,11200.0,0.7204414,0.7218921826009624
2023,545101,4709.080078125,87202.0,54337.36,0.23400003,0.2433830529594364
2023,7434301,9418.16015625,25000.0,11150.0,0.22149998,0.23288640094312918
2023,2603901,4709.080078125,182527.0,145458.34,0.34600002,0.3319604490304727
2023,1135003,9418.16015625,35971.0,21906.281,0.22723436,0.22030625906015666
2023,4396101,9418.16015625,147915.0,98502.2,0.35399997,0.365094095061799
2023,6834101,4709.080078125,171644.0,130041.84,0.3545,0.3398182249643593
2023,1671901,14127.240234375,30001.0,16150.68,0.22799999,0.2220462639380233
2023,5108201,4709.080078125,168000.0,140300.0,0.29650003,0.2820575656095179
2023,891401,9418.16015625,86515.0,72660.2,0.3879766,0.37826667699068284
2023,689601,14127.240234375,96438.0,82592.06,0.25396097,0.2692634145898939
2023,4465701,9418.16015625,87100.0,92208.0,0.29650003,0.3062835441841302
2023,4526701,18836.3203125,16000.0,300.0,0.17650002,0.16097050354396825
2023,5297201,4709.080078125,39557.0,16058.762,4.2565784,0.99
2023,6313101,9418.16015625,55007.0,54006.906,0.1965,0.1969197544269844
2023,8579906,9418.16015625,63011.0,49157.48,0.38950002,0.3877066840012674
2023,4353902,4709.080078125,14100.0,250.0,0.2295,0.20449169895647523
2023,2354801,4709.080078125,100000.0,86150.0,0.3645,0.3738294189514011
2023,7129901,4709.080078125,61177.0,39910.36,0.2758203,0.265847347823183
2023,2009901,4709.080078125,174000.0,146300.0,0.34649998,0.34979496726393233
2023,3650501,4709.080078125,134100.0,106393.59,0.35399997,0.3575059753863399
2023,853001,4709.080078125,222250.0,195680.0,0.46899998,0.4542115335101564
2023,421403,14127.240234375,47730.0,20028.398,0.22649997,0.21037266097591212
2023,8497701,4709.080078125,218903.0,190469.4,0.40249997,0.3902237609767346
2023,7599701,4709.080078125,689350.0,654618.0,0.48549998,0.46843123523565733
2023,6144401,14127.240234375,120601.0,91224.68,0.29650003,0.29613052512573124
2023,3292001,18836.3203125,120503.0,95132.04,0.36164063,0.3506640524437513
2023,1400701,4709.080078125,207171.0,137878.28,0.32720315,0.33240162945238927
2023,1307101,9418.16015625,141340.0,112751.2,0.32720315,0.3217285485047867
2023,1894201,4709.080078125,66000.0,50300.0,0.34600002,0.3481243968312703
2023,4579101,4709.080078125,66000.0,38300.0,0.1965,0.19454923264398838
2023,6246701,4709.080078125,50000.0,36150.0,0.1965,0.18445540349075018
2023,5753201,9418.16015625,51805.0,37955.0,0.23900002,0.2544085385924276
2023,2065201,4709.080078125,57527.0,28126.36,0.23699999,0.19602535856694547
2023,8454501,9418.16015625,141305.0,134167.56,0.3955,0.41051384811159897
2023,6393301,4709.080078125,106244.0,68330.83,0.17650002,0.2011215495613059
2023,4617803,4709.080078125,30000.0,16150.0,0.1965,0.17289640528072348
2023,3541901,9418.16015625,48000.0,34150.0,0.254,0.24226889136168905
2023,2582501,4709.080078125,58003.0,28674.68,0.24507815,0.2453092449896641
2023,6541401,4709.080078125,44970.0,30833.2,0.1965,0.21432295659725364
2023,347302,4709.080078125,63615.0,30998.2,0.24650002,0.24507069298621864
2023,1071301,4709.080078125,2.065998e+06,1.9309584e+06,0.56299996,0.5703356874856288
2023,645501,9418.16015625,33001.0,19150.68,0.30050194,0.2832400331652367
2023,610001,9418.16015625,64405.0,49725.4,0.35650003,0.35886147157683834
2023,7777701,4709.080078125,202050.0,128620.96,0.30229688,0.31654811594078824
2023,6194401,14127.240234375,164000.0,136300.0,0.29650003,0.3021297537355154
2023,4033301,14127.240234375,85509.0,41046.117,0.24467969,0.23684191536299382
