model,N,Mean ETI,Median ETI,Std ETI,Share No Response,P25 ETI,P75 ETI
gpt-4o,15985,0.3638,-0.0,2.5342,0.8051,0.0,0.0
gpt-4o-mini,15999,1.28,1.1404,0.7561,0.0311,0.8333,1.6667
